iteration,loss,particle,velocity,x,y
1,inf,44,11.8178,3.53326,-0.45317
1,inf,45,1.67772,-1.35691,1.5631
1,inf,46,7.86965,-1.14641,-1.20232
1,inf,47,9.863,-3.41274,1.46684
1,inf,48,7.05382,-3.13445,-0.312436
1,inf,49,4.84454,-3.76982,3.21595
1,inf,50,10.988,2.45513,4.9331
1,inf,51,4.53598,-1.0947,0.656887
1,inf,52,8.47659,-2.68042,-1.75838
1,inf,53,10.5952,2.38967,0.471361
1,inf,54,9.99252,-1.24677,-3.34634
1,inf,55,11.9072,4.3824,2.45235
1,inf,56,7.82348,4.3653,2.62146
1,inf,57,10.4926,-1.84896,-1.01122
1,inf,58,10.0318,-3.90867,1.92141
1,inf,59,9.04011,4.67637,4.3908
1,inf,60,8.38353,-3.7983,2.37441
1,inf,61,10.7502,4.6537,-0.0667394
1,inf,62,7.30118,-2.3784,1.05132
1,inf,63,4.46244,-3.49706,1.55977
1,inf,64,11.3685,-5.06213,-0.634374
1,inf,65,11.6397,2.40231,-0.615666
1,inf,66,6.02815,4.43551,2.06633
1,inf,67,11.2999,-0.67591,2.96554
1,inf,68,10.6238,-0.642461,2.58691
1,inf,69,7.85623,2.15962,-5.02306
1,inf,70,4.7565,3.51078,-4.09701
1,inf,71,2.26376,-1.26804,4.42644
1,inf,72,7.24731,-3.57789,0.563486
1,inf,73,10.0451,-5.09854,-3.97573
1,inf,74,3.36292,-3.60613,-4.92456
1,inf,75,5.7229,0.383883,-3.03364
1,inf,76,4.20786,3.62548,-3.23969
1,inf,77,7.86388,-1.67339,-4.03237
1,inf,78,4.43403,2.40843,-3.00415
1,inf,79,5.25163,-4.49588,2.60723
1,inf,80,11.652,-1.06568,2.94193
1,inf,81,7.44449,-0.300154,0.974383
1,inf,82,9.41119,5.08579,-2.95796
1,inf,83,6.73619,-0.162537,3.09814
1,inf,84,9.91945,0.167323,2.02355
1,inf,85,7.15887,3.09052,-1.01141
1,inf,86,8.96237,1.00721,-5.01476
1,inf,87,5.55108,2.05649,4.45958
1,inf,88,9.37824,-2.3321,-1.27358
1,inf,89,11.7779,3.71957,0.446626
1,inf,90,7.79637,-5.07939,3.44155
1,inf,91,3.29064,-1.19953,-0.670138
1,inf,92,12.2161,-2.74162,-2.55581
1,inf,93,1.9478,-0.438415,0.420682
1,inf,94,6.97014,-0.79281,2.40595
1,inf,95,9.81831,0.607772,1.77648
1,inf,96,1.4296,-1.9129,0.569873
1,inf,97,4.10541,-4.45814,-2.99953
1,inf,98,5.28581,3.65484,5.00811
1,inf,99,9.29076,2.39031,0.615918
2,8.68704,0,1.70462,-1.58663,0.361623
2,8.68704,1,4.46437,0.496999,-3.12636
2,8.68704,2,5.63622,-4.64919,1.67549
2,8.68704,3,4.0177,-3.47806,-4.89386
2,8.68704,4,1.56366,5.08351,1.44584
2,8.68704,5,2.50963,-0.282847,5.10628
2,8.68704,6,5.03463,3.92828,2.81174
2,8.68704,7,3.79108,3.17411,3.48582
2,8.68704,8,0.921373,3.47114,-2.40243
2,8.68704,9,4.27689,-1.97626,-0.441968
2,8.68704,10,5.55619,-4.86797,-1.16027
2,8.68704,11,4.22843,3.16389,-3.53035
2,8.68704,12,4.65857,-2.26192,5.00409
2,8.68704,13,2.33789,-2.3759,-1.68871
2,8.68704,14,5.71323,-4.24594,4.85178
2,8.68704,15,3.79099,-4.94618,1.53369
2,8.68704,16,0.64217,-0.235808,-4.72664
2,8.68704,17,2.41844,-3.15359,0.29936
2,8.68704,18,2.06165,2.79936,-2.66451
2,8.68704,19,0.923842,-1.36062,-5.08306
2,8.68704,20,4.841,-4.74096,-0.327859
2,8.68704,21,1.47259,-2.99257,-1.22903
2,8.68704,22,2.7525,2.07405,2.77575
2,8.68704,23,4.04808,-5.05319,1.76454
2,8.68704,24,5.17368,-2.09325,-0.840886
2,8.68704,25,2.91757,0.960504,2.2591
2,8.68704,26,6.96097,-1.86374,-2.15056
2,8.68704,27,1.64838,3.20871,-1.10892
2,8.68704,28,2.63458,3.87692,-3.52138
2,8.68704,29,5.78384,-0.842469,2.49125
2,8.68704,30,4.47572,2.96103,5.03681
2,8.68704,31,4.24485,2.18767,1.69514
2,8.68704,32,4.28993,0.578491,-4.04523
2,8.68704,33,3.21557,-4.98785,1.98636
2,8.68704,34,4.66111,-4.87709,1.80797
2,8.68704,35,1.58526,2.49535,-3.30803
2,8.68704,36,4.90481,-3.74715,-5.02868
2,8.68704,37,2.98696,-3.8041,-0.573036
2,8.68704,38,5.20693,2.20753,2.04566
2,8.68704,39,6.60931,-4.4184,5.04939
2,8.68704,40,2.34271,-3.59097,1.36218
2,8.68704,41,4.33098,2.08683,4.98614
2,8.68704,42,6.62696,2.24438,-4.1771
2,8.68704,43,5.48484,-2.40683,-0.983247
2,8.68704,44,7.62932,-2.67566,-4.88666
2,8.68704,45,2.04877,-0.912825,-0.436962
2,8.68704,46,3.39418,1.21435,1.23638
2,8.68704,47,5.42284,1.73992,-0.223498
2,8.68704,48,2.29268,-4.37954,-2.23757
2,8.68704,49,3.22415,-4.20529,0.021339
2,8.68704,50,7.86593,-2.45106,-1.21525
2,8.68704,51,1.71891,0.370059,-0.242636
2,8.68704,52,3.58216,-4.84509,-4.61252
2,8.68704,53,3.41977,1.96728,3.86494
2,8.68704,54,3.66302,2.41617,-3.32209
2,8.68704,55,2.22902,5.08312,4.56836
2,8.68704,56,4.66454,-0.241012,3.35615
2,8.68704,57,4.31536,-4.95645,-4.00552
2,8.68704,58,3.24926,-5.05943,4.96007
2,8.68704,59,3.42475,-4.95645,1.18913
2,8.68704,60,1.07983,-3.87162,3.45175
2,8.68704,61,8.63065,-3.03795,3.8482
2,8.68704,62,3.89784,-3.32839,-2.72898
2,8.68704,63,2.87916,-2.88978,-1.25461
2,8.68704,64,5.29537,-0.99384,-4.02406
2,8.68704,65,3.126,2.67087,-3.73011
2,8.68704,66,5.86737,-0.676781,-0.812999
2,8.68704,67,5.75199,-4.32116,-1.4839
2,8.68704,68,2.93454,2.23838,3.14575
2,8.68704,69,4.69776,-2.53724,-5.11515
2,8.68704,70,1.83248,2.27075,-2.74783
2,8.68704,71,1.90864,-1.52766,2.53554
2,8.68704,72,2.15335,-3.67797,2.71451
2,8.68704,73,1.08725,-5.11893,-5.06279
2,8.68704,74,3.07873,-4.36475,-1.94075
2,8.68704,75,3.01948,-2.22864,-1.51971
2,8.68704,76,2.17348,1.94586,-1.86024
2,8.68704,77,4.32963,-4.74252,-0.978508
2,8.68704,78,4.79063,-2.2882,-2.0598
2,8.68704,79,5.36973,0.113595,-0.147171
2,8.68704,80,3.23904,1.4263,5.0111
2,8.68704,81,2.79807,1.32208,-1.30543
2,8.68704,82,3.99986,1.65356,-5.0119
2,8.68704,83,6.55785,-1.31244,-3.3581
2,8.68704,84,2.23841,1.29235,3.95869
2,8.68704,85,2.65114,4.36689,-3.33509
2,8.68704,86,5.96026,-4.81364,-3.73316
2,8.68704,87,3.6858,-0.981904,2.37313
2,8.68704,88,3.79845,-1.29492,-4.92768
2,8.68704,89,4.09344,5.04998,4.31784
2,8.68704,90,6.19582,-5.11797,-2.75415
2,8.68704,91,1.15322,-0.0492254,-0.752096
2,8.68704,92,4.70012,1.27797,-4.99179
2,8.68704,93,1.77605,-2.19417,0.688407
2,8.68704,94,3.22972,1.07778,-0.22692
2,8.68704,95,5.04048,-3.83314,4.16075
2,8.68704,96,0.722204,-2.34209,-0.0109656
2,8.68704,97,1.19937,-5.08691,-1.97818
2,8.68704,98,2.10919,2.15059,3.52962
2,8.68704,99,2.84898,4.98352,1.79575
3,6.44856,0,1.43323,-0.500397,-0.573399
3,6.44856,1,4.28979,-3.28662,-1.10483
3,6.44856,2,6.04271,0.390333,-1.65881
3,6.44856,3,7.65834,1.59982,0.838967
3,6.44856,4,5.9892,-0.332239,-1.11154
3,6.44856,5,5.54031,1.23375,-0.22241
3,6.44856,6,2.06178,1.87213,2.9641
3,6.44856,7,3.3163,2.25657,0.298986
3,6.44856,8,2.91096,3.01015,0.471796
3,6.44856,9,0.845947,-1.63442,-1.21577
3,6.44856,10,6.59324,1.72448,-1.26219
3,6.44856,11,4.52081,0.0690508,-0.234947
3,6.44856,12,7.56481,-1.34511,-2.50496
3,6.44856,13,2.45581,-0.551684,-0.0445621
3,6.44856,14,8.83151,3.65776,0.911337
3,6.44856,15,4.59615,-0.470659,0.487572
3,6.44856,16,3.23401,0.322197,-1.54114
3,6.44856,17,0.922542,-3.93989,-0.183149
3,6.44856,18,4.17426,-0.190759,0.248162
3,6.44856,19,4.11052,-0.361845,-1.09573
3,6.44856,20,4.73768,-0.386409,-2.19427
3,6.44856,21,4.07788,0.853913,0.125089
3,6.44856,22,5.16422,-0.824515,-1.4983
3,6.44856,23,7.47717,1.64962,-1.54912
3,6.44856,24,2.22047,-0.426403,-2.30788
3,6.44856,25,0.487688,0.878411,2.73982
3,6.44856,26,0.950004,-0.92404,-2.01103
3,6.44856,27,0.81133,2.48691,-0.738442
3,6.44856,28,4.39352,2.51866,0.65692
3,6.44856,29,1.45283,-2.21129,2.00438
3,6.44856,30,5.79317,3.5671,-0.724569
3,6.44856,31,1.98771,0.200471,1.65039
3,6.44856,32,4.27408,1.7737,0.0583305
3,6.44856,33,6.08452,1.07298,1.44999
3,6.44856,34,2.14377,-2.82954,1.17292
3,6.44856,35,3.30489,2.00477,-0.0397512
3,6.44856,36,5.53866,1.67705,-3.90853
3,6.44856,37,4.9611,0.605893,1.69952
3,6.44856,38,0.447152,2.48618,1.69595
3,6.44856,39,8.13493,1.85923,-0.124444
3,6.44856,40,1.47552,-2.48731,0.382844
3,6.44856,41,2.67863,1.8527,2.31776
3,6.44856,42,2.65916,2.3598,-1.52044
3,6.44856,43,2.03223,-1.71864,0.928918
3,6.44856,44,2.34692,-4.07134,-2.99984
3,6.44856,45,1.01818,-0.0492096,-0.976276
3,6.44856,46,2.98594,-1.75513,0.923294
3,6.44856,47,1.54292,3.14366,-0.863894
3,6.44856,48,1.90026,-2.90032,-1.04471
3,6.44856,49,2.19222,-2.51882,-1.37926
3,6.44856,50,2.50835,-1.47036,-3.52394
3,6.44856,51,0.356548,0.434615,0.10802
3,6.44856,52,6.96478,0.13968,0.251662
3,6.44856,53,3.53665,1.55125,0.352852
3,6.44856,54,4.06249,0.890717,0.443122
3,6.44856,55,0.575736,0.395066,4.10576
3,6.44856,56,1.92688,-2.0859,2.80004
3,6.44856,57,6.53672,0.290766,-0.107387
3,6.44856,58,7.9489,-0.934765,-1.83494
3,6.44856,59,3.66211,-1.31256,1.55399
3,6.44856,60,4.71705,-0.643969,0.0118578
3,6.44856,61,1.98364,-5.0159,3.99837
3,6.44856,62,2.95822,-0.376505,-2.53549
3,6.44856,63,2.3025,-0.79084,-2.20118
3,6.44856,64,2.40242,1.38411,-4.36609
3,6.44856,65,3.51913,-0.66813,-2.61865
3,6.44856,66,2.12019,-2.65965,-1.56363
3,6.44856,67,4.11683,-2.78525,2.33569
3,6.44856,68,0.200203,2.41642,3.23731
3,6.44856,69,6.9297,0.6588,1.03351
3,6.44856,70,2.31656,1.06644,-0.76892
3,6.44856,71,3.1217,-0.218298,-0.298286
3,6.44856,72,2.70456,-3.3225,0.0334118
3,6.44856,73,8.03541,0.715658,0.462191
3,6.44856,74,3.58929,-2.9733,1.36785
3,6.44856,75,3.81404,1.17586,0.19966
3,6.44856,76,3.91914,-0.827256,0.909144
3,6.44856,77,1.81371,-3.35397,0.188308
3,6.44856,78,2.00415,-3.96737,-0.965733
3,6.44856,79,2.15695,1.96516,-1.25358
3,6.44856,80,1.22038,0.534832,4.17766
3,6.44856,81,1.655,-0.298296,-1.64217
3,6.44856,82,4.21666,1.11079,-0.830319
3,6.44856,83,5.20579,0.160374,1.635
3,6.44856,84,4.32465,0.523824,-0.297125
3,6.44856,85,3.97786,2.84801,0.341372
3,6.44856,86,2.03962,-3.47178,-2.19711
3,6.44856,87,2.52109,-1.07905,-0.146093
3,6.44856,88,5.50395,0.213453,0.365555
3,6.44856,89,6.08966,1.81721,-0.842898
3,6.44856,90,5.30951,0.105401,-3.70667
3,6.44856,91,0.720228,0.529908,-0.323921
3,6.44856,92,3.74732,1.65023,-1.26301
3,6.44856,93,2.30406,0.00908531,0.0143298
3,6.44856,94,1.14605,1.69658,-1.19155
3,6.44856,95,4.16506,0.329451,4.01721
3,6.44856,96,1.71556,-0.646333,-0.270885
3,6.44856,97,3.90478,-1.39307,-0.71212
3,6.44856,98,1.89878,1.25323,1.85626
3,6.44856,99,2.01833,3.52063,0.405203
4,0.057025,0,0.655189,0.0980965,-0.840003
4,0.057025,1,2.52456,-1.5677,0.744148
4,0.057025,2,2.13304,-1.05504,-3.22749
4,0.057025,3,1.96715,2.71014,2.46281
4,0.057025,4,1.85534,-2.1676,-0.839971
4,0.057025,5,1.95283,1.51655,-2.15465
4,0.057025,6,5.72907,-1.86976,-1.37416
4,0.057025,7,2.36966,0.605599,-1.40088
4,0.057025,8,0.425905,2.74699,0.80667
4,0.057025,9,6.60683,4.78228,0.357821
4,0.057025,10,5.49378,0.243983,4.02835
4,0.057025,11,1.78362,-1.15989,1.05773
4,0.057025,12,7.58154,2.9392,3.74999
4,0.057025,13,1.6153,0.919244,0.622955
4,0.057025,14,1.92387,2.59,-0.689024
4,0.057025,15,3.00732,1.62316,-1.6711
4,0.057025,16,3.86044,0.47235,2.31638
4,0.057025,17,8.6193,4.66701,0.279244
4,0.057025,18,1.27692,-1.12543,1.11816
4,0.057025,19,1.89027,0.0516417,0.748766
4,0.057025,20,2.31117,1.86987,-2.69499
4,0.057025,21,0.33982,0.942458,0.453171
4,0.057025,22,2.5938,-1.30256,1.05107
4,0.057025,23,0.370503,1.71931,-1.91301
4,0.057025,24,2.36818,-1.36229,-0.132473
4,0.057025,25,2.87721,0.312455,-0.0811765
4,0.057025,26,1.28888,0.184845,-1.35409
4,0.057025,27,2.01259,0.476329,-0.828356
4,0.057025,28,3.70801,-1.15082,0.123742
4,0.057025,29,3.75153,-0.505818,-1.33708
4,0.057025,30,4.54276,0.866679,2.92844
4,0.057025,31,1.88245,-0.592726,-0.056787
4,0.057025,32,1.56703,1.95625,1.61469
4,0.057025,33,1.93316,2.38152,0.0270245
4,0.057025,34,5.6657,2.76412,0.272244
4,0.057025,35,3.60429,-1.36883,1.22902
4,0.057025,36,2.73886,3.21582,-1.6428
4,0.057025,37,1.44937,1.98904,1.2664
4,0.057025,38,3.27647,-0.675375,0.835815
4,0.057025,39,2.11026,1.03289,-2.06619
4,0.057025,40,0.571485,-2.05772,0.00595181
4,0.057025,41,3.03549,1.26664,-0.660611
4,0.057025,42,2.65171,0.0201564,-0.272389
4,0.057025,43,2.85847,1.13219,0.720119
4,0.057025,44,2.97144,-1.42119,-1.65588
4,0.057025,45,0.370146,0.312538,-1.05468
4,0.057025,46,2.87529,-1.88074,-1.94925
4,0.057025,47,0.109181,3.25283,-0.86251
4,0.057025,48,5.08459,1.74571,1.02105
4,0.057025,49,2.94863,-2.52839,1.56936
4,0.057025,50,1.9041,-0.504469,-1.88301
4,0.057025,51,2.27587,-1.77787,0.641384
4,0.057025,52,2.56043,1.98033,2.0315
4,0.057025,53,4.41791,0.221398,4.56585
4,0.057025,54,1.49539,0.282489,1.80923
4,0.057025,55,5.66576,-0.130603,-1.53556
4,0.057025,56,2.01391,-0.447356,1.62914
4,0.057025,57,1.56251,-1.04457,0.703989
4,0.057025,58,3.39447,1.76776,-3.88891
4,0.057025,59,2.65807,0.364831,-0.507967
4,0.057025,60,2.12355,1.02853,-1.29665
4,0.057025,61,1.80374,-4.02682,2.49
4,0.057025,62,4.07281,0.725011,1.38553
4,0.057025,63,1.85649,0.388974,-0.767793
4,0.057025,64,3.26038,0.915423,-1.47613
4,0.057025,65,3.96623,-1.18242,1.3141
4,0.057025,66,3.17207,-0.652174,0.892403
4,0.057025,67,6.48582,3.66772,2.98762
4,0.057025,68,4.93492,1.74167,-1.65126
4,0.057025,69,0.934994,1.25713,1.75199
4,0.057025,70,2.95948,-1.10989,1.2366
4,0.057025,71,1.0331,0.463334,-1.07461
4,0.057025,72,3.1914,-0.301816,-0.99637
4,0.057025,73,2.40481,1.87946,2.56664
4,0.057025,74,4.318,1.31069,0.826933
4,0.057025,75,0.884351,1.80966,0.816406
4,0.057025,76,0.325141,-0.829927,1.23427
4,0.057025,77,4.98548,1.62319,0.476227
4,0.057025,78,0.57272,-3.69669,-0.461018
4,0.057025,79,3.01378,-0.151699,0.891594
4,0.057025,80,4.01349,-2.00978,1.07394
4,0.057025,81,3.65803,-0.568995,2.00583
4,0.057025,82,2.96,-0.914191,1.32862
4,0.057025,83,3.31534,-0.0140275,4.94575
4,0.057025,84,1.7349,-1.07228,0.382829
4,0.057025,85,5.1808,-2.20619,-0.796937
4,0.057025,86,7.99353,4.49654,-1.56274
4,0.057025,87,0.761362,-0.897503,-0.885493
4,0.057025,88,1.43484,0.464125,1.77833
4,0.057025,89,3.01908,-1.0739,-1.71258
4,0.057025,90,2.44434,2.00703,-2.1709
4,0.057025,91,1.22903,-0.699119,-0.324203
4,0.057025,92,1.85479,1.48978,0.584831
4,0.057025,93,0.878177,0.84884,-0.24259
4,0.057025,94,2.02421,-0.326981,-1.14036
4,0.057025,95,8.86126,2.11086,-4.66314
4,0.057025,96,0.765723,-1.14244,0.312391
4,0.057025,97,2.66061,-4.05127,-0.599027
4,0.057025,98,3.56917,0.038455,-1.49982
4,0.057025,99,2.01072,1.54454,0.033607
5,0.057025,0,0.192596,0.257644,-0.732125
5,0.057025,1,1.72106,0.0272085,0.0973637
5,0.057025,2,4.58969,-1.59707,1.33008
5,0.057025,3,3.89798,1.2212,-1.13959
5,0.057025,4,2.41894,0.150248,-0.147959
5,0.057025,5,1.3449,0.173121,-2.21759
5,0.057025,6,6.80873,4.42885,1.21165
5,0.057025,7,1.35759,-0.144224,-0.26915
5,0.057025,8,1.97806,0.994046,-0.109809
5,0.057025,9,6.33118,-0.643473,-2.90485
5,0.057025,10,1.89034,-1.05113,2.65137
5,0.057025,11,0.908439,-0.402579,0.55599
5,0.057025,12,1.64837,1.31193,4.0129
5,0.057025,13,0.973016,-0.00691547,0.324644
5,0.057025,14,2.9353,0.0360798,0.757873
5,0.057025,15,5.31436,-3.34424,0.21763
5,0.057025,16,2.65867,-0.260007,-0.239433
5,0.057025,17,5.81326,-1.13816,-0.027285
5,0.057025,18,1.41947,0.283778,0.947825
5,0.057025,19,0.266273,0.142563,0.498497
5,0.057025,20,3.12346,1.60092,0.416872
5,0.057025,21,1.34863,-0.217013,-0.235624
5,0.057025,22,0.557445,-1.09363,1.56788
5,0.057025,23,3.02257,0.944061,1.00845
5,0.057025,24,1.07725,-0.318783,-0.39999
5,0.057025,25,1.10043,-0.0692987,-1.11326
5,0.057025,26,0.858379,-0.58889,-1.72577
5,0.057025,27,1.34003,0.886812,0.447251
5,0.057025,28,0.308241,-1.16903,-0.18396
5,0.057025,29,0.81281,-1.22764,-0.963401
5,0.057025,30,2.2921,-1.39079,2.5315
5,0.057025,31,0.638537,-0.558177,-0.694389
5,0.057025,32,0.428266,1.75008,1.99007
5,0.057025,33,0.549649,2.33619,-0.520753
5,0.057025,34,6.45401,-3.68113,-0.0640759
5,0.057025,35,3.59209,2.11256,0.34415
5,0.057025,36,2.83918,1.50928,0.626259
5,0.057025,37,2.73202,0.446174,-0.988266
5,0.057025,38,3.94252,3.2312,1.36701
5,0.057025,39,1.04315,0.592509,-1.12055
5,0.057025,40,2.51225,0.45068,-0.133045
5,0.057025,41,3.11188,-0.845249,1.62493
5,0.057025,42,1.22433,-0.887746,0.549017
5,0.057025,43,3.4777,-2.30457,0.188013
5,0.057025,44,0.894234,-2.07282,-1.04348
5,0.057025,45,0.586156,0.00592157,-0.555112
5,0.057025,46,2.0139,0.105125,-1.61437
5,0.057025,47,3.35442,-0.0024914,-0.0531914
5,0.057025,48,4.43492,-2.68749,1.14442
5,0.057025,49,4.01414,1.45368,2.07569
5,0.057025,50,3.77938,0.634662,1.72061
5,0.057025,51,2.96237,1.16093,0.26844
5,0.057025,52,0.682254,2.51322,2.45753
5,0.057025,53,3.19082,2.02437,1.93325
5,0.057025,54,0.968645,-0.183092,0.959809
5,0.057025,55,1.38703,-0.285367,-2.91394
5,0.057025,56,1.26663,0.0444381,0.461873
5,0.057025,57,1.98003,-0.103178,-1.03793
5,0.057025,58,7.40904,-2.36949,2.25739
5,0.057025,59,3.60948,-3.07307,0.591664
5,0.057025,60,0.973783,0.15364,-1.72422
5,0.057025,61,4.68123,-0.0915572,-0.0452766
5,0.057025,62,3.62789,-2.80608,0.553091
5,0.057025,63,1.83444,-1.38173,-1.24714
5,0.057025,64,1.84207,-0.345555,-0.133311
5,0.057025,65,0.711606,-0.497733,1.50798
5,0.057025,66,1.83424,1.16456,1.14523
5,0.057025,67,7.26274,-2.4081,-0.991308
5,0.057025,68,5.18703,0.979834,3.47952
5,0.057025,69,2.26615,-0.890667,1.02923
5,0.057025,70,1.93718,-0.549327,-0.617697
5,0.057025,71,2.01353,-0.2692,0.800937
5,0.057025,72,1.80923,0.8586,0.391709
5,0.057025,73,3.83396,-0.968127,-0.000557304
5,0.057025,74,1.8843,2.4971,-0.636973
5,0.057025,75,0.948663,1.84778,-0.13149
5,0.057025,76,2.01674,0.195017,-0.502598
5,0.057025,77,2.64896,-0.876973,-0.399099
5,0.057025,78,4.22489,0.509269,-0.0614866
5,0.057025,79,0.93721,-0.721904,0.1478
5,0.057025,80,1.90592,-1.19625,-0.649633
5,0.057025,81,1.37506,0.268329,0.915111
5,0.057025,82,4.64524,0.0470013,-3.21609
5,0.057025,83,8.94857,-0.166618,-4.00152
5,0.057025,84,3.35258,0.0639237,3.53701
5,0.057025,85,6.97233,4.75369,-0.380481
5,0.057025,86,5.96369,3.04629,-0.52435
5,0.057025,87,1.51332,0.193295,0.163453
5,0.057025,88,1.75542,0.104163,0.0602161
5,0.057025,89,4.44634,3.00305,0.0617887
5,0.057025,90,3.28752,0.0974023,0.505122
5,0.057025,91,0.7339,0.0347811,-0.324582
5,0.057025,92,2.85906,-0.869957,-1.02944
5,0.057025,93,0.340574,0.513137,-0.299982
5,0.057025,94,2.84836,1.99529,0.508942
5,0.057025,95,10.1475,-1.96269,4.63084
5,0.057025,96,1.27686,0.131305,0.40158
5,0.057025,97,1.97919,-2.45791,-1.77308
5,0.057025,98,4.45683,0.06098,2.95695
5,0.057025,99,3.37614,-1.828,-0.122063
6,0.057025,0,0.554713,0.0263703,-0.227923
6,0.057025,1,0.702924,0.630663,-0.263115
6,0.057025,2,5.41275,0.911966,-3.46602
6,0.057025,3,1.36155,-0.10567,-1.44491
6,0.057025,4,0.852988,0.865491,0.316815
6,0.057025,5,1.89672,-0.419823,-0.41593
6,0.057025,6,1.9392,2.51273,0.913356
6,0.057025,7,0.919711,-0.139817,0.650551
6,0.057025,8,1.99344,-0.986436,-0.336759
6,0.057025,9,4.88154,-2.01162,1.78105
6,0.057025,10,4.73826,-0.0686241,-1.9839
6,0.057025,11,0.42428,-0.332861,0.137477
6,0.057025,12,6.22668,-1.11598,-1.72092
6,0.057025,13,0.72948,-0.332874,-0.32796
6,0.057025,14,1.10816,-0.96663,0.286074
6,0.057025,15,0.336091,-3.24317,-0.102902
6,0.057025,16,0.628031,-0.321454,-0.864451
6,0.057025,17,1.54745,-2.68173,-0.136784
6,0.057025,18,1.5995,-1.269,0.564082
6,0.057025,19,0.341845,-0.0230968,0.199474
6,0.057025,20,3.74391,-0.0792988,-2.92883
6,0.057025,21,1.74067,1.31858,0.584061
6,0.057025,22,3.08032,0.68735,-0.94537
6,0.057025,23,1.59879,-0.479612,1.73597
6,0.057025,24,0.170254,-0.44385,-0.51551
6,0.057025,25,0.154173,-0.086386,-0.960042
6,0.057025,26,1.40278,-0.863709,-0.350173
6,0.057025,27,3.7366,4.15718,-1.36019
6,0.057025,28,1.92241,0.611145,0.541719
6,0.057025,29,1.6004,-1.10661,0.632416
6,0.057025,30,6.49993,3.025,-2.23818
6,0.057025,31,1.4343,0.00888012,0.623058
6,0.057025,32,5.00544,-1.28725,-1.9885
6,0.057025,33,1.63455,1.67528,0.974223
6,0.057025,34,4.27394,0.373513,1.28741
6,0.057025,35,0.891278,1.50351,-0.306567
6,0.057025,36,6.79369,-2.53475,-4.83269
6,0.057025,37,2.32229,0.871681,1.2947
6,0.057025,38,2.96422,0.289237,1.7296
6,0.057025,39,0.418296,0.642556,-0.70526
6,0.057025,40,1.9392,-1.47993,0.0492673
6,0.057025,41,0.720251,-1.51003,1.90212
6,0.057025,42,1.54697,0.0865714,-0.652576
6,0.057025,43,0.808936,-2.20727,0.991077
6,0.057025,44,2.20318,-1.14944,0.956858
6,0.057025,45,0.436218,-0.208654,-0.175318
6,0.057025,46,1.10119,-0.56872,-0.74342
6,0.057025,47,1.27358,-1.22029,0.319598
6,0.057025,48,2.33576,-1.89077,-1.05126
6,0.057025,49,6.37053,-3.69934,-1.66998
6,0.057025,50,2.84185,-0.470726,-0.89745
6,0.057025,51,0.903887,2.00242,-0.0615622
6,0.057025,52,4.99123,0.211663,1.05193
6,0.057025,53,4.52448,2.09552,-2.59067
6,0.057025,54,1.44463,-0.20024,-0.484718
6,0.057025,55,0.647072,0.158575,-3.3847
6,0.057025,56,0.986735,0.226741,-0.507875
6,0.057025,57,1.40807,0.453028,0.255629
6,0.057025,58,7.16087,-0.900219,-4.75113
6,0.057025,59,4.14345,1.0621,0.329949
6,0.057025,60,0.513464,0.440163,-1.29813
6,0.057025,61,1.86091,1.52577,-0.965718
6,0.057025,62,0.948153,-1.88767,0.788684
6,0.057025,63,1.43645,-0.115754,-1.92587
